,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C21-13,-30.489049,0.000000,0.000000
C21-14,-19.144943,0.000000,0.000000
C21-15,-28.561120,0.000000,0.000000
C21-16,-50.031718,0.000000,0.000000
C21-17,-164.931249,0.000000,0.000000
C21-18,-171.235654,0.000000,0.000000
C21-19,-156.700249,0.000000,0.000000
C21-20,-130.173979,0.000000,0.000000
C21-21,-115.652972,0.000000,0.000000
C21-22,-94.195309,0.000000,0.000000
C21-23,-98.835400,0.000000,0.000000
C21-24,-93.917241,0.000000,0.000000
C22-1,-55.269763,0.000000,0.000000
C22-2,-48.383506,0.000000,0.000000
C22-3,-72.732166,0.000000,0.000000
C22-4,-43.359288,0.000000,0.000000
C22-5,-45.064155,0.000000,0.000000
C22-6,-52.741755,0.000000,0.000000
C22-7,-69.159808,0.000000,0.000000
C22-8,-76.605413,0.000000,0.000000
C22-9,-30.354843,0.000000,0.000000
C22-10,-74.580381,0.000000,0.000000
C22-11,-80.207627,0.000000,0.000000
C22-12,-20.488528,0.000000,0.000000
C22-13,79.916674,0.000000,0.000000
C22-14,107.948514,0.000000,0.000000
C22-15,75.247807,0.000000,0.000000
C22-16,22.480915,0.000000,0.000000
C22-17,-131.060839,0.000000,0.000000
C22-18,-132.618543,0.000000,0.000000
C22-19,-130.101495,0.000000,0.000000
C22-20,-100.662216,0.000000,0.000000
C22-21,-82.925048,0.000000,0.000000
C22-22,-58.564578,0.000000,0.000000
C22-23,-60.298675,0.000000,0.000000
C22-24,-52.893082,0.000000,0.000000
C23-1,-156.607162,0.000000,0.000000
C23-2,-139.858571,0.000000,0.000000
C23-3,-192.645030,0.000000,0.000000
C23-4,-127.623636,0.000000,0.000000
C23-5,-131.765370,0.000000,0.000000
C23-6,-150.478480,0.000000,0.000000
C23-7,-190.474577,0.000000,0.000000
C23-8,-190.038725,0.000000,0.000000
C23-9,-112.826156,0.000000,0.000000
C23-10,-160.833612,0.000000,0.000000
C23-11,-127.268570,0.000000,0.000000
C23-12,-76.427657,0.000000,0.000000
C23-13,9.963316,0.000000,0.000000
C23-14,39.636436,0.000000,0.000000
C23-15,-1.712596,0.000000,0.000000
C23-16,-101.628293,0.000000,0.000000
C23-17,-200.891423,0.000000,0.000000
C23-18,-214.428902,0.000000,0.000000
C23-19,-223.108035,0.000000,0.000000
C23-20,-241.382748,0.000000,0.000000
C23-21,-254.812314,0.000000,0.000000
C23-22,-258.223410,0.000000,0.000000
C23-23,-249.613879,0.000000,0.000000
C23-24,-237.956652,0.000000,0.000000
C24-1,73.221918,0.000000,0.000000
C24-2,73.940217,0.000000,0.000000
C24-3,68.855974,0.000000,0.000000
C24-4,74.458297,0.000000,0.000000
C24-5,74.278564,0.000000,0.000000
C24-6,73.493473,0.000000,0.000000
C24-7,71.806429,0.000000,0.000000
C24-8,57.839630,0.000000,0.000000
C24-9,23.233812,0.000000,0.000000
C24-10,44.385945,0.000000,0.000000
C24-11,-23.371304,0.000000,0.000000
C24-12,-78.510650,0.000000,0.000000
C24-13,-132.719413,0.000000,0.000000
C24-14,-186.680880,0.000000,0.000000
C24-15,-131.384750,0.000000,0.000000
C24-16,-4.456943,0.000000,0.000000
C24-17,20.608827,0.000000,0.000000
C24-18,41.309279,0.000000,0.000000
C24-19,68.476012,0.000000,0.000000
C24-20,102.164205,0.000000,0.000000
C24-21,123.761794,0.000000,0.000000
C24-22,131.881829,0.000000,0.000000
C24-23,118.446151,0.000000,0.000000
C24-24,38.158601,0.000000,0.000000
C25-1-1,-65.209130,0.000000,0.000000
C25-1-2,-55.123569,0.000000,0.000000
C25-1-3,-86.199541,0.000000,0.000000
C25-1-4,-47.754340,0.000000,0.000000
C25-1-5,-50.247853,0.000000,0.000000
C25-1-6,-61.520794,0.000000,0.000000
C25-1-7,-85.612515,0.000000,0.000000
C25-1-8,-86.996739,0.000000,0.000000
C25-1-9,-41.512454,0.000000,0.000000
C25-1-10,-69.210912,0.000000,0.000000
C25-1-11,-87.850553,0.000000,0.000000
C25-1-12,-68.091042,0.000000,0.000000
C25-1-13,-30.942337,0.000000,0.000000
C25-1-14,-4.772901,0.000000,0.000000
C25-1-15,-30.919069,0.000000,0.000000
C25-1-16,-104.606102,0.000000,0.000000
C25-1-17,-105.913749,0.000000,0.000000
C25-1-18,-108.250835,0.000000,0.000000
C25-1-19,-111.254440,0.000000,0.000000
C25-1-20,-133.635822,0.000000,0.000000
C25-1-21,-148.103221,0.000000,0.000000
C25-1-22,-161.684766,0.000000,0.000000
C25-1-23,-159.502485,0.000000,0.000000
C25-1-24,-170.161499,0.000000,0.000000
C25-2-1,-65.209130,0.000000,0.000000
C25-2-2,-55.123569,0.000000,0.000000
C25-2-3,-86.199541,0.000000,0.000000
C25-2-4,-47.754340,0.000000,0.000000
C25-2-5,-50.247853,0.000000,0.000000
C25-2-6,-61.520794,0.000000,0.000000
C25-2-7,-85.612515,0.000000,0.000000
C25-2-8,-86.996739,0.000000,0.000000
C25-2-9,-41.512454,0.000000,0.000000
C25-2-10,-69.210912,0.000000,0.000000
C25-2-11,-87.850553,0.000000,0.000000
C25-2-12,-68.091042,0.000000,0.000000
C25-2-13,-30.942337,0.000000,0.000000
C25-2-14,-4.772901,0.000000,0.000000
C25-2-15,-30.919069,0.000000,0.000000
C25-2-16,-104.606102,0.000000,0.000000
C25-2-17,-105.913749,0.000000,0.000000
C25-2-18,-108.250835,0.000000,0.000000
C25-2-19,-111.254440,0.000000,0.000000
C25-2-20,-133.635822,0.000000,0.000000
C25-2-21,-148.103221,0.000000,0.000000
C25-2-22,-161.684766,0.000000,0.000000
C25-2-23,-159.502485,0.000000,0.000000
C25-2-24,-170.161499,0.000000,0.000000
C26-1,-81.011271,0.000000,0.000000
C26-2,-95.564514,0.000000,0.000000
C26-3,-25.394988,0.000000,0.000000
C26-4,-106.138513,0.000000,0.000000
C26-5,-102.521521,0.000000,0.000000
C26-6,-86.411712,0.000000,0.000000
C26-7,-51.901783,0.000000,0.000000
C26-8,-45.391671,0.000000,0.000000
C26-9,-113.421300,0.000000,0.000000
C26-10,-87.203727,0.000000,0.000000
C26-11,12.298515,0.000000,0.000000
C26-12,25.479932,0.000000,0.000000
C26-13,6.791476,0.000000,0.000000
C26-14,7.907176,0.000000,0.000000
C26-15,6.951734,0.000000,0.000000
C26-16,31.030467,0.000000,0.000000
C26-17,102.954503,0.000000,0.000000
C26-18,65.281348,0.000000,0.000000
C26-19,47.321075,0.000000,0.000000
C26-20,65.321814,0.000000,0.000000
C26-21,81.679247,0.000000,0.000000
C26-22,93.987836,0.000000,0.000000
C26-23,137.518869,0.000000,0.000000
C26-24,155.730142,0.000000,0.000000
C27-1,-355.542665,0.000000,0.000000
C27-2,-315.785668,0.000000,0.000000
C27-3,-425.421571,0.000000,0.000000
C27-4,-286.706083,0.000000,0.000000
C27-5,-296.525838,0.000000,0.000000
C27-6,-341.043099,0.000000,0.000000
C27-7,-436.140943,0.000000,0.000000
C27-8,-437.107284,0.000000,0.000000
C27-9,-252.754099,0.000000,0.000000
