,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
318_CC_1-2,1,27.276623,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,563966.386206,0.000000,0.000000,0.000000,0.000000,0.000000,318,-563939.109583,27.276623,-0.0,27.276623,61.666667
318_CC_1-3,1,31.529241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,563970.638824,0.000000,0.000000,0.000000,0.000000,0.000000,318,-563939.109583,31.529241,-0.0,31.529241,61.666667
321_CC_1-0,1,22.732463,170.000000,53.211277,1.000000,0.000000,0.000000,1977.267537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,321,2000.000000,22.732463,336135.48128999997,22.732463,170.000000
321_CC_1-1,1,22.732463,61.666667,19.302130,1.000000,0.000000,0.000000,1977.267537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,321,2000.000000,22.732463,121931.49877408917,22.732463,61.666667
321_CC_1-2,1,25.908321,61.666667,21.998751,1.000000,0.000000,0.000000,1974.091679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,321,2000.000000,25.908321,121735.65419636389,25.908321,61.666667
321_CC_1-3,1,33.947092,0.000000,0.000000,1.000000,0.000000,0.000000,1966.052908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,321,2000.000000,33.947092,0.0,33.947092,61.666667
322_CT_5-0,1,23.334982,22.000000,7.068682,1.000000,0.000000,0.000000,0.000000,653039.735643,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,23.334982,-14366874.184167998,23.334982,22.000000
322_CT_5-1,1,23.334982,11.000000,3.534341,1.000000,0.000000,0.000000,0.000000,653039.735643,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,23.334982,-7183437.092083999,23.334982,11.000000
322_CT_5-2,1,26.499179,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653042.899840,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,26.499179,-0.0,26.499179,11.000000
322_CT_5-3,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,653044.295352,0.000000,0.000000,0.000000,0.000000,0.000000,322,-653016.400662,27.894691,-0.0,27.894691,11.000000
