,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C26-11,42.238790,0.000000,0.000000
C26-12,-8.453645,0.000000,0.000000
C26-13,16.877741,0.000000,0.000000
C26-14,21.464838,0.000000,0.000000
C26-15,35.878830,0.000000,0.000000
C26-16,51.447604,0.000000,0.000000
C26-17,124.568647,0.000000,0.000000
C26-18,167.114991,0.000000,0.000000
C26-19,172.516265,0.000000,0.000000
C26-20,178.428514,0.000000,0.000000
C26-21,171.861283,0.000000,0.000000
C26-22,160.743905,0.000000,0.000000
C26-23,172.227594,0.000000,0.000000
C26-24,162.679143,0.000000,0.000000
C27-1,-465.557223,0.000000,0.000000
C27-2,-444.444782,0.000000,0.000000
C27-3,46.320742,0.000000,0.000000
C27-4,-111.335638,0.000000,0.000000
C27-5,-55.362802,0.000000,0.000000
C27-6,-179.554414,0.000000,0.000000
C27-7,-88.089885,0.000000,0.000000
C27-8,60.396728,0.000000,0.000000
